class
sln,major_abbr,course_num,section,building_abbr,room
13265,CSE,484,AD,LOW,101
13266,CSE,490,A,PCAR,291
13268,CSE,490,C,HRC,155
13269,CSE,490,CA,MGH,238
13270,CSE,490,CB,MGH,251
13271,CSE,490,D,,
13274,CSE,492,J,MGH,241
13275,CSE,492,L,CSE2,G10
13276,CSE,492,R,,
13277,CSE,495,A,,
13278,CSE,496,A,,
13279,CSE,498,A,,
13280,CSE,499,A,,
13281,CSE,505,A,MGH,251
13282,CSE,517,A,CSE2,G01
13283,CSE,519,A,CSE2,G20
13284,CSE,519,B,CSE2,G20
13286,CSE,520,A,CSE2,G20
13287,CSE,520,B,CSE2,G20
22537,CSE,543,A,MUE,153
13289,CSE,547,A,CSE2,G10
13291,CSE,556,A,MEB,251
13292,CSE,567,A,MGH,231
13293,CSE,573,A,GUG,218
13294,CSE,578,A,GUG,218
13296,CSE,590,A,,
13297,CSE,590,C,,
13298,CSE,590,C,ECE,3
13299,CSE,590,D,,
13300,CSE,590,E,MGH,58
13301,CSE,590,F,ECE,31
13302,CSE,590,H,LOW,216
13303,CSE,590,I,,
13304,CSE,590,J,,
13305,CSE,590,K,,
13306,CSE,590,L,DEM,112
13307,CSE,590,M,,
13308,CSE,590,N,JHN,111
13309,CSE,590,O,,
13310,CSE,590,P,330-420,ECE
13311,CSE,590,Q,,
13312,CSE,590,R,,
13313,CSE,590,S,,
13314,CSE,590,T,,
13315,CSE,590,U,CSE,203
13316,CSE,590,V,,
13317,CSE,590,W,,
13318,CSE,590,X,,
13319,CSE,590,Y,,
13320,CSE,590,Z,SAV,168
13321,CSE,591,A,,
13322,CSE,591,B,,
13323,CSE,591,C,,
13324,CSE,591,D,CSE,291
13325,CSE,591,E,,
13326,CSE,591,F,,
13327,CSE,591,G,,
13328,CSE,591,H,,
13329,CSE,591,I,,
13330,CSE,591,J,,
13331,CSE,591,K,,
13332,CSE,591,L,,
13333,CSE,591,M,,
13334,CSE,591,N,,
13335,CSE,591,O,,
13336,CSE,591,P,,
13337,CSE,591,Q,,
13338,CSE,591,R,,
13339,CSE,591,S,,
13340,CSE,591,T,,
13341,CSE,591,U,,
13342,CSE,591,V,,
13343,CSE,591,W,,
13344,CSE,591,X,,
13345,CSE,591,Y,,
13346,CSE,599,A,,
13347,CSE,599,A1,PCAR,291
13351,CSE,599,D1,,
13353,CSE,599,F,,
13354,CSE,599,G,,
13355,CSE,599,H,,
13357,CSE,599,J,CMU,230
13361,CSE,599,N,,
13364,CSE,599,Q,CMU,228
13366,CSE,599,S,MLR,316
13367,CSE,599,U,CSE2,G01
13368,CSE,599,X,,
13369,CSE,600,A,,
13370,CSE,601,A,,
13371,CSE,700,A,,
13372,CSE,800,A,,
